pidlink,marstat,age,sex,ever_married,male
001060001,2:Married,59.0,1:Male,1,1
001060004,2:Married,28.0,3:Female,1,0
001060007,2:Married,39.0,3:Female,1,0
001060008,1:Not yet married,16.0,3:Female,0,0
001065102,2:Married,30.0,1:Male,1,1
001080003,2:Married,36.0,1:Male,1,1
001080008,1:Not yet married,26.0,1:Male,0,1
001080012,2:Married,40.0,3:Female,1,0
001220001,2:Married,55.0,1:Male,1,1
001220002,2:Married,54.0,3:Female,1,0
001220003,2:Married,34.0,1:Male,1,1
001220006,1:Not yet married,28.0,1:Male,0,1
001220008,1:Not yet married,24.0,1:Male,0,1
001220009,1:Not yet married,23.0,1:Male,0,1
001220011,2:Married,32.0,3:Female,1,0
001220013,1:Not yet married,15.0,3:Female,0,0
001240002,5:Widowed,62.0,3:Female,1,0
001240003,5:Widowed,40.0,1:Male,1,1
001240004,2:Married,35.0,1:Male,1,1
001240005,2:Married,37.0,3:Female,1,0
001240007,1:Not yet married,30.0,3:Female,0,0
001240009,2:Married,24.0,3:Female,1,0
001240012,1:Not yet married,24.0,1:Male,0,1
001240014,1:Not yet married,17.0,3:Female,0,0
001240016,1:Not yet married,17.0,1:Male,0,1
001240017,1:Not yet married,16.0,3:Female,0,0
001240024,1:Not yet married,25.0,3:Female,0,0
001240025,2:Married,31.0,3:Female,1,0
001245101,2:Married,50.0,1:Male,1,1
001245201,2:Married,30.0,1:Male,1,1
001250003,2:Married,34.0,1:Male,1,1
001250008,2:Married,33.0,3:Female,1,0
001290001,2:Married,58.0,1:Male,1,1
001290002,2:Married,50.0,3:Female,1,0
001290003,2:Married,27.0,3:Female,1,0
001290004,2:Married,29.0,1:Male,1,1
001290005,2:Married,25.0,1:Male,1,1
001290008,1:Not yet married,16.0,1:Male,0,1
001295101,2:Married,27.0,1:Male,1,1
001295202,2:Married,22.0,3:Female,1,0
001295304,2:Married,21.0,3:Female,1,0
002010002,5:Widowed,67.0,3:Female,1,0
002010003,2:Married,46.0,3:Female,1,0
002010004,2:Married,56.0,1:Male,1,1
002010005,1:Not yet married,26.0,1:Male,0,1
002010006,2:Married,24.0,3:Female,1,0
002010008,1:Not yet married,19.0,3:Female,0,0
002010011,1:Not yet married,16.0,1:Male,0,1
002015101,2:Married,24.0,1:Male,1,1
002020001,2:Married,42.0,1:Male,1,1
002020011,2:Married,22.0,3:Female,1,0
002030002,5:Widowed,68.0,3:Female,1,0
002040001,2:Married,46.0,1:Male,1,1
002040002,2:Married,45.0,3:Female,1,0
002040003,2:Married,28.0,3:Female,1,0
002040004,1:Not yet married,25.0,3:Female,0,0
002040006,1:Not yet married,20.0,3:Female,0,0
002040007,1:Not yet married,16.0,1:Male,0,1
002044102,2:Married,35.0,1:Male,1,1
002050003,2:Married,28.0,1:Male,1,1
002050010,2:Married,26.0,3:Female,1,0
002060002,2:Married,40.0,1:Male,1,1
002060004,2:Married,34.0,3:Female,1,0
002060006,2:Married,33.0,3:Female,1,0
002060007,1:Not yet married,15.0,1:Male,0,1
002065101,2:Married,52.0,1:Male,1,1
002110006,2:Married,41.0,1:Male,1,1
002110007,2:Married,39.0,3:Female,1,0
002110009,1:Not yet married,18.0,1:Male,0,1
002114304,1:Not yet married,15.0,1:Male,0,1
002130001,2:Married,57.0,1:Male,1,1
002130002,2:Married,54.0,3:Female,1,0
002150001,2:Married,64.0,1:Male,1,1
002150002,2:Married,52.0,3:Female,1,0
002180002,2:Married,48.0,1:Male,1,1
002180005,2:Married,45.0,3:Female,1,0
002180006,2:Married,26.0,1:Male,1,1
002180007,2:Married,24.0,3:Female,1,0
002180010,1:Not yet married,19.0,3:Female,0,0
002183101,2:Married,49.0,1:Male,1,1
002184101,2:Married,27.0,1:Male,1,1
002190001,5:Widowed,81.0,3:Female,1,0
