pidlink,dl01f,dl06,educ
1060001,M,6.0,6.0
1060004,M,6.0,6.0
1060007,M,6.0,6.0
1060008,M,9.0,9.0
1065102,M,9.0,9.0
1080003,M,6.0,6.0
1080008,M,6.0,6.0
1220001,M,6.0,6.0
1220002,M,6.0,6.0
1220003,M,16.0,16.0
1220006,M,16.0,16.0
1220008,M,16.0,16.0
1220009,M,15.0,15.0
1220011,M,6.0,6.0
1220013,M,9.0,9.0
1240002,M,6.0,6.0
1240003,M,6.0,6.0
1240007,M,16.0,16.0
1240009,M,9.0,9.0
1240012,M,16.0,16.0
1240014,M,13.0,13.0
1240016,M,13.0,13.0
1240017,M,9.0,9.0
1240024,D,16.0,16.0
1245101,M,6.0,6.0
1245201,M,9.0,9.0
1250003,M,6.0,6.0
1250008,A,9.0,9.0
1290001,M,6.0,6.0
1290003,M,6.0,6.0
1290004,M,6.0,6.0
1290005,M,6.0,6.0
1290008,M,9.0,9.0
1295101,M,6.0,6.0
1295304,,6.0,6.0
2010003,M,6.0,6.0
2010004,M,9.0,9.0
2010005,M,15.0,15.0
2010006,M,6.0,6.0
2010008,M,9.0,9.0
2010011,M,12.0,12.0
2015101,M,9.0,9.0
2020001,M,6.0,6.0
2020011,M,9.0,9.0
2040001,M,6.0,6.0
2040003,M,6.0,6.0
2040004,M,16.0,16.0
2040006,M,9.0,9.0
2040007,M,12.0,12.0
2050003,M,6.0,6.0
2050010,M,6.0,6.0
2060006,M,6.0,6.0
2060007,M,9.0,9.0
2065101,M,12.0,12.0
2110007,M,6.0,6.0
2110009,,16.0,16.0
2114304,M,13.0,13.0
2150001,M,6.0,6.0
2150002,M,6.0,6.0
2180002,M,6.0,6.0
2180005,M,9.0,9.0
2180006,M,9.0,9.0
2180007,M,6.0,6.0
2180010,M,12.0,12.0
2183101,M,6.0,6.0
2184101,,6.0,6.0
2190002,M,6.0,6.0
2190005,N,12.0,12.0
2190006,M,6.0,6.0
2190013,M,6.0,6.0
2200001,M,16.0,16.0
2200002,M,9.0,9.0
2200003,M,16.0,16.0
2200004,M,16.0,16.0
2210008,M,6.0,6.0
2220004,M,12.0,12.0
2250004,M,12.0,12.0
2250005,M,15.0,15.0
2250006,M,15.0,15.0
2250010,M,15.0,15.0
2260005,M,6.0,6.0
2260008,M,9.0,9.0
2260011,M,6.0,6.0
2270005,M,16.0,16.0
2290001,,6.0,6.0
2290003,M,12.0,12.0
2290007,M,6.0,6.0
2294203,M,6.0,6.0
2295103,M,9.0,9.0
2300007,M,6.0,6.0
2300014,M,6.0,6.0
3010001,,9.0,9.0
3010002,D,6.0,6.0
3010004,D,6.0,6.0
3010005,D,12.0,12.0
3010007,D,12.0,12.0
3010008,D,12.0,12.0
3010009,D,13.0,13.0
3014101,A,12.0,12.0
3015102,D,9.0,9.0
3015202,,9.0,9.0
3015301,D,6.0,6.0
3020001,A,6.0,6.0
3020002,D,6.0,6.0
3020003,D,13.0,13.0
3020004,A,9.0,9.0
3020005,D,12.0,12.0
3020006,A D,9.0,9.0
3020007,D,9.0,9.0
3020008,A,9.0,9.0
3030003,D,12.0,12.0
3030005,D,12.0,12.0
3030007,D,12.0,12.0
3030008,D,13.0,13.0
3031204,D,12.0,12.0
3040001,D,6.0,6.0
3040002,D,6.0,6.0
3040003,D,13.0,13.0
3040004,D,16.0,16.0
3040005,D,12.0,12.0
3040006,D,13.0,13.0
3040007,D,12.0,12.0
3045101,D,9.0,9.0
3050001,D,16.0,16.0
3050002,D,6.0,6.0
3050003,D,12.0,12.0
3050004,D,12.0,12.0
3050005,D,13.0,13.0
3050006,D,12.0,12.0
3050007,D,12.0,12.0
3050008,D,12.0,12.0
3050009,D,12.0,12.0
3050010,D,12.0,12.0
3054101,D,12.0,12.0
3055101,D,9.0,9.0
3055202,D,12.0,12.0
3070002,D,12.0,12.0
3080002,D,6.0,6.0
3080006,,9.0,9.0
3080009,D,9.0,9.0
3090002,D,12.0,12.0
3090005,D,12.0,12.0
3090006,D,16.0,16.0
3090008,D,13.0,13.0
3090019,D,13.0,13.0
3094102,D,13.0,13.0
3100002,,6.0,6.0
3100003,D,12.0,12.0
3100004,D,9.0,9.0
3100005,D,9.0,9.0
3100006,D,12.0,12.0
3104103,D,9.0,9.0
3104201,D,13.0,13.0
3110001,D,6.0,6.0
3110002,D,6.0,6.0
3110003,D,13.0,13.0
3110004,,9.0,9.0
3110005,D,9.0,9.0
3115101,D,12.0,12.0
3120001,D,12.0,12.0
3120002,D,6.0,6.0
3120003,D,15.0,15.0
3120004,D,16.0,16.0
3120005,D,6.0,6.0
3121103,D,13.0,13.0
3121104,D,12.0,12.0
3130001,,6.0,6.0
3130002,D,12.0,12.0
3130003,,9.0,9.0
3130007,D,13.0,13.0
3134105,D,12.0,12.0
3140002,,6.0,6.0
3140004,D,9.0,9.0
3140005,D,9.0,9.0
3140006,D,6.0,6.0
3143101,,12.0,12.0
3150001,D,6.0,6.0
3150002,D,12.0,12.0
3150003,D,9.0,9.0
3153101,D,12.0,12.0
3153103,D,12.0,12.0
3155101,D,12.0,12.0
3170001,D,9.0,9.0
3170002,D,15.0,15.0
3170003,D,12.0,12.0
3170004,,12.0,12.0
3170005,D,12.0,12.0
3170006,D,12.0,12.0
3173104,D,9.0,9.0
3174102,D,13.0,13.0
3175201,,16.0,16.0
3180002,D,15.0,15.0
3180003,D,16.0,16.0
3180004,D,13.0,13.0
3180005,D,16.0,16.0
3180006,D,15.0,15.0
3180007,D,15.0,15.0
3183104,D,16.0,16.0
3184101,D,16.0,16.0
3184202,D,16.0,16.0
3185101,D,13.0,13.0
3190001,D,12.0,12.0
3190002,D,9.0,9.0
3190003,D,13.0,13.0
3190004,D,9.0,9.0
3190005,,12.0,12.0
3191101,D,12.0,12.0
3193102,D,16.0,16.0
3194102,D,12.0,12.0
3200003,D,12.0,12.0
3200004,D,16.0,16.0
3200005,D,16.0,16.0
3200007,D,16.0,16.0
3200010,D,12.0,12.0
3203103,D,12.0,12.0
3203104,D,12.0,12.0
3203105,D,12.0,12.0
3240002,D,12.0,12.0
3240003,D,12.0,12.0
3240005,D,16.0,16.0
3240006,D,12.0,12.0
3240007,D,13.0,13.0
3240008,D,12.0,12.0
3240009,,12.0,12.0
3240010,D,16.0,16.0
3240011,,12.0,12.0
3243103,D,12.0,12.0
3243205,,13.0,13.0
3243206,D,12.0,12.0
3243207,D,6.0,6.0
3244101,A,12.0,12.0
3245401,,12.0,12.0
3250001,,6.0,6.0
3250004,D,9.0,9.0
3250005,D,12.0,12.0
3250007,D,12.0,12.0
3250009,D,12.0,12.0
3260001,M,15.0,15.0
3260003,M,12.0,12.0
3260004,M,16.0,16.0
3260005,M,16.0,16.0
3260006,M,13.0,13.0
3260008,M,16.0,16.0
3260009,D,16.0,16.0
3264102,B,12.0,12.0
3265102,V,12.0,12.0
3265202,D,12.0,12.0
3270001,,6.0,6.0
3270002,D,9.0,9.0
3270003,D,13.0,13.0
3270004,,13.0,13.0
3270006,D,13.0,13.0
3280001,D,9.0,9.0
3280002,D,12.0,12.0
3280003,D,16.0,16.0
3280005,D,12.0,12.0
3290001,A,6.0,6.0
3290002,D,6.0,6.0
3290003,D,12.0,12.0
3290005,D,16.0,16.0
3290006,D,12.0,12.0
3294106,D,12.0,12.0
3300003,D,6.0,6.0
4010002,D,16.0,16.0
4010003,D,16.0,16.0
4010005,D,16.0,16.0
4020002,D,6.0,6.0
4020005,D,12.0,12.0
4020007,D,12.0,12.0
4020008,D,12.0,12.0
4020009,D,9.0,9.0
4024104,D,12.0,12.0
4025201,D,12.0,12.0
4030001,D,6.0,6.0
4030003,D,6.0,6.0
4030008,D,12.0,12.0
4030009,D,6.0,6.0
4030010,D,13.0,13.0
4030011,D,13.0,13.0
4035102,,15.0,15.0
4035103,,9.0,9.0
4040002,,6.0,6.0
4040003,D,9.0,9.0
4040008,,9.0,9.0
4040011,D,12.0,12.0
4045102,D,12.0,12.0
4050001,D,16.0,16.0
4050002,D,9.0,9.0
4050003,D,12.0,12.0
4050004,D,16.0,16.0
4050006,D,13.0,13.0
4055102,D,13.0,13.0
4060001,H,6.0,6.0
4060002,D,6.0,6.0
4060003,D,12.0,12.0
4060004,D,12.0,12.0
4060005,D,15.0,15.0
4060007,,6.0,6.0
4065102,D,12.0,12.0
4065202,D,13.0,13.0
4065302,D,15.0,15.0
4070002,D,12.0,12.0
4070005,,6.0,6.0
4070007,D,13.0,13.0
4070008,D,9.0,9.0
4070009,D,9.0,9.0
4070012,D,9.0,9.0
4090003,D,12.0,12.0
4090007,D,12.0,12.0
4090008,D,9.0,9.0
4100002,D,6.0,6.0
4100003,D,6.0,6.0
4100004,D,13.0,13.0
4100005,D,9.0,9.0
4100006,D,12.0,12.0
4100008,D,16.0,16.0
4100009,D,13.0,13.0
4100010,,12.0,12.0
4102101,D,12.0,12.0
4102104,D,13.0,13.0
4103102,D,13.0,13.0
4103103,D,12.0,12.0
4103104,D,12.0,12.0
4104102,D,13.0,13.0
4104202,D,9.0,9.0
4105102,D,9.0,9.0
4105202,D,12.0,12.0
4110003,D,12.0,12.0
4111103,D,16.0,16.0
4130001,D,9.0,9.0
4130002,D,6.0,6.0
4130003,D,12.0,12.0
4130004,,12.0,12.0
4130005,D,13.0,13.0
4130006,D,9.0,9.0
4130007,D,9.0,9.0
4132102,D,16.0,16.0
4134101,,6.0,6.0
4140001,,6.0,6.0
4140002,D,9.0,9.0
4140004,,9.0,9.0
4140005,D,13.0,13.0
4140006,D,13.0,13.0
4140007,D,15.0,15.0
4140011,D,12.0,12.0
4144102,D,12.0,12.0
4150003,D,16.0,16.0
4150004,D,16.0,16.0
4150007,D,13.0,13.0
4160001,D,15.0,15.0
4160002,D,12.0,12.0
4160003,D,16.0,16.0
4160004,D,15.0,15.0
4160005,D,16.0,16.0
4170004,D,15.0,15.0
4170005,D,12.0,12.0
4170006,,15.0,15.0
4170007,,15.0,15.0
4190002,D,9.0,9.0
4190003,D,12.0,12.0
4194102,D,12.0,12.0
4200001,D,13.0,13.0
4200002,D,6.0,6.0
4200003,D,16.0,16.0
4200004,D,15.0,15.0
4220001,D,12.0,12.0
4220003,D,13.0,13.0
4220004,D,12.0,12.0
4220006,D,9.0,9.0
4225102,D,12.0,12.0
4230001,D,6.0,6.0
4230002,D,6.0,6.0
4230003,D,12.0,12.0
4232102,D,13.0,13.0
4240001,D,6.0,6.0
4240002,D,6.0,6.0
4240004,D,12.0,12.0
4240006,D,12.0,12.0
4242202,D,12.0,12.0
4250001,D,9.0,9.0
4250003,D,9.0,9.0
4253102,D,12.0,12.0
4260002,D,6.0,6.0
4260005,D,6.0,6.0
4260006,D,9.0,9.0
4260008,D,13.0,13.0
4260015,D,12.0,12.0
4264202,D,6.0,6.0
4270001,D,6.0,6.0
4270006,D,12.0,12.0
4274103,D,9.0,9.0
4274105,D,9.0,9.0
4280001,,6.0,6.0
4280004,D,9.0,9.0
4280007,D,12.0,12.0
4290001,D,6.0,6.0
4290002,D,6.0,6.0
4290004,D,12.0,12.0
4290005,,13.0,13.0
4295102,D,16.0,16.0
4300005,D,12.0,12.0
4302201,,12.0,12.0
4302205,D,12.0,12.0
5010003,D,16.0,16.0
5010004,D,12.0,12.0
5010005,D,6.0,6.0
5013102,D,16.0,16.0
5030001,A,6.0,6.0
5030002,A,6.0,6.0
5030003,A,13.0,13.0
5030006,A,12.0,12.0
5034101,A,9.0,9.0
5040004,A,12.0,12.0
5040005,A,12.0,12.0
5043103,A,12.0,12.0
5044107,,9.0,9.0
5044202,A,13.0,13.0
5050001,,9.0,9.0
5050002,A,6.0,6.0
5050003,D,12.0,12.0
5060001,A,6.0,6.0
5060002,A,6.0,6.0
5060003,A,9.0,9.0
5060004,A,13.0,13.0
5060007,A,9.0,9.0
5064101,A,13.0,13.0
5065102,A,9.0,9.0
5070001,A,6.0,6.0
5070002,A,6.0,6.0
5080002,A,6.0,6.0
5080003,A,6.0,6.0
5090001,A,6.0,6.0
5090002,A,6.0,6.0
5090005,A,9.0,9.0
5090010,A,12.0,12.0
5090015,A,13.0,13.0
5094101,A,6.0,6.0
5095102,A,9.0,9.0
5095201,A,16.0,16.0
5100001,D,6.0,6.0
5100002,B,6.0,6.0
5100003,A,6.0,6.0
5100005,A,6.0,6.0
5104101,A,6.0,6.0
5110003,A,9.0,9.0
5110004,A,6.0,6.0
5110005,A,6.0,6.0
5110006,A,12.0,12.0
5110008,A,13.0,13.0
5111102,A,6.0,6.0
5111104,A,12.0,12.0
5130002,D,12.0,12.0
5130003,A,9.0,9.0
5130005,A,6.0,6.0
5130006,,6.0,6.0
5130008,A,13.0,13.0
5130012,A,16.0,16.0
5131203,A,6.0,6.0
5134101,D,12.0,12.0
5135102,A,12.0,12.0
5140001,A,6.0,6.0
5140002,A,6.0,6.0
5140003,A,6.0,6.0
5140005,A,12.0,12.0
5140006,A,12.0,12.0
5140007,A,13.0,13.0
5143101,,6.0,6.0
5144101,D,13.0,13.0
5144201,,12.0,12.0
5145103,A,12.0,12.0
5150001,A,13.0,13.0
5150002,D,12.0,12.0
5150003,A,12.0,12.0
