pidlink,kw03,kw04
001060004,1.0,1:Parent
001060007,1.0,3:Self
001080012,1.0,3:Self
001220002,,
001220011,1.0,1:Parent
001240005,1.0,1:Parent
001240009,1.0,1:Parent
001240025,1.0,1:Parent
001250008,,
001290003,1.0,3:Self
002010003,,
002010006,1.0,1:Parent
002020011,1.0,1:Parent
002040003,,
002060004,1.0,4:Family
002060006,,
002110007,1.0,1:Parent
002180005,,
002180007,,
002190003,,
002190013,1.0,3:Self
002200002,1.0,3:Self
002220002,,
002250002,,
002250010,1.0,3:Self
002260011,1.0,1:Parent
002300007,1.0,4:Family
003010002,,
003010004,,
003010005,1.0,3:Self
003010007,1.0,3:Self
003010008,1.0,3:Self
003020002,1.0,3:Self
003020005,1.0,3:Self
003030005,2.0,
003030007,,
003040002,,
003040003,1.0,3:Self
003050003,1.0,3:Self
003050004,,
003050008,1.0,3:Self
003055202,1.0,3:Self
003070002,1.0,
003080002,1.0,
003090006,1.0,3:Self
003100005,1.0,3:Self
003100006,,
003110002,,
003110003,1.0,3:Self
003120002,,
003120005,,
003130002,,
003134105,1.0,3:Self
003140004,,
003140006,,
003150002,,
003150003,1.0,3:Self
003170002,1.0,3:Self
003170005,1.0,3:Self
003170006,1.0,3:Self
003174102,,
003180003,,
003180005,1.0,3:Self
003180006,1.0,3:Self
003183104,1.0,1:Parent
003190004,,
003193102,,
003194102,,
003200003,,
003240003,,
003240005,1.0,1:Parent
003240006,,
003240008,,
003243206,1.0,3:Self
003250005,,
003260005,1.0,3:Self
003264102,,
003265102,1.0,3:Self
003270002,,
003270006,1.0,3:Self
003280002,,
003290002,,
003294106,1.0,3:Self
003300003,,
004010002,,
004020002,1.0,
004020008,1.0,3:Self
004024104,1.0,3:Self
004030003,,
004040011,1.0,3:Self
004050002,,
004050003,1.0,3:Self
004065102,1.0,3:Self
004065202,1.0,3:Self
004065302,1.0,3:Self
004070002,,
004070008,1.0,3:Self
004070009,1.0,
004070012,1.0,3:Self
004090008,,
004100003,,
004100008,2.0,1:Parent
004103102,1.0,
004104102,,
004104202,,
004105102,1.0,3:Self
004111103,1.0,3:Self
004130005,,
004132102,,
004140011,1.0,3:Self
004144102,,
004150004,,
004160002,,
004194102,1.0,3:Self
004200002,,
004220006,,
004225102,1.0,3:Self
004230003,,
004240004,,
004253102,,
004260002,,
004260015,1.0,3:Self
004264202,,
