pidlink,marstat,age,sex,times_married,who_chose_your_partner,ethnicity,education,income/month,income/year
1245201,2:Married,30,1:Male,1.0,4:Other family member from parent,['Nias'],9.0,800000.0,1200000.0
1290004,2:Married,29,1:Male,1.0,3:Self,['Nias'],6.0,400000.0,3000000.0
2010006,2:Married,24,3:Female,1.0,1:Parent,['Nias'],6.0,1500000.0,4700000.0
2020011,2:Married,22,3:Female,1.0,1:Parent,['Nias'],9.0,140000.0,600000.0
2050003,2:Married,28,1:Male,1.0,1:Parents,['Nias'],6.0,1600000.0,19200000.0
2065101,2:Married,52,1:Male,2.0,3:Self,['Nias'],12.0,0.0,0.0
2200001,2:Married,54,1:Male,1.0,3:Self,['Nias'],16.0,2000000.0,24000000.0
2250004,2:Married,28,1:Male,1.0,3:Self,['Nias'],12.0,3000000.0,10000000.0
2250010,2:Married,25,3:Female,1.0,3:Self,['Nias'],15.0,1400000.0,8400000.0
2260008,2:Married,22,1:Male,1.0,3:Self,['Nias'],9.0,120000.0,600000.0
3015102,2:Married,28,1:Male,1.0,3:Self,['Batak'],9.0,520000.0,6600000.0
3020003,2:Married,29,1:Male,1.0,3:Self,['Batak'],13.0,1200000.0,7200000.0
3050006,2:Married,31,1:Male,1.0,3:Self,['Batak'],12.0,3000000.0,39000000.0
3050010,2:Married,26,1:Male,1.0,3:Self,['Batak'],12.0,2500000.0,10000000.0
3090005,2:Married,35,1:Male,1.0,3:Self,['Batak'],12.0,5500000.0,66000000.0
3090006,2:Married,30,3:Female,1.0,3:Self,['Batak'],16.0,4000000.0,48100000.0
3094102,2:Married,32,1:Male,1.0,3:Self,['Batak'],13.0,4500000.0,76500000.0
3180006,2:Married,28,3:Female,1.0,3:Self,['Batak'],15.0,4000000.0,49500000.0
3183104,2:Married,28,3:Female,1.0,1:Parent,['Batak'],16.0,1200000.0,7710000.0
3184202,2:Married,33,1:Male,1.0,3:Self,['Batak'],16.0,4000000.0,60000000.0
3185101,2:Married,29,1:Male,1.0,3:Self,['Batak'],13.0,400000.0,19550000.0
3200004,2:Married,35,1:Male,1.0,3:Self,['Batak'],16.0,3300000.0,24800000.0
3260004,2:Married,29,1:Male,1.0,3:Self,['Nias'],16.0,3800000.0,36400000.0
3260005,2:Married,26,3:Female,1.0,3:Self,['Nias'],16.0,700000.0,8400000.0
3260009,2:Married,51,3:Female,2.0,3:Self,['Batak'],16.0,4500000.0,91750000.0
3265102,2:Married,28,3:Female,1.0,3:Self,['Other'],12.0,1800000.0,23400000.0
3290003,2:Married,27,1:Male,1.0,3:Self,['Batak'],12.0,3000000.0,36000000.0
4020005,2:Married,27,1:Male,1.0,3:Self,['Batak'],12.0,1700000.0,19600000.0
4025201,2:Married,33,1:Male,1.0,3:Self,['Batak'],12.0,600000.0,7200000.0
4030008,2:Married,24,1:Male,1.0,3:Self,['Batak'],12.0,500000.0,6000000.0
4055102,2:Married,28,1:Male,1.0,3:Self,['Batak'],13.0,2200000.0,24200000.0
4060003,2:Married,34,1:Male,1.0,3:Self,['Batak'],12.0,1500000.0,18000000.0
4060004,2:Married,31,1:Male,1.0,3:Self,['Batak'],12.0,2000000.0,24000000.0
4060005,2:Married,29,1:Male,1.0,3:Self,['Batak'],15.0,1650000.0,20880000.0
4065202,2:Married,36,3:Female,1.0,3:Self,['Batak'],13.0,700000.0,8000000.0
