pidlink,marstat,age,sex,ever_married,male,ethnicity,education,monthly_income,yearly_income,ethnicity_clean,ethnicity_grouped,is_divorced,log_income,sex_numeric,is_jawa,is_sunda,age_squared,survey_weight
1220003,Married,34.0,Male,1,1,['Nias'],16.0,0.0,3500000.0,Nias,Other,0,0.0,1,0,0,1156.0,1.0888289416846653
1220006,1:Not yet married,28.0,Male,0,1,['Nias'],16.0,2000000.0,8000000.0,Nias,Other,0,14.508658238524095,1,0,0,784.0,1.0888289416846653
1220008,1:Not yet married,24.0,Male,0,1,['Nias'],16.0,700000.0,2050000.0,Nias,Other,0,13.45883704259595,1,0,0,576.0,1.0888289416846653
1240007,1:Not yet married,30.0,Female,0,0,['Nias'],16.0,200000.0,3600000.0,Nias,Other,0,12.206077645517674,0,0,0,900.0,1.0888289416846653
1240016,1:Not yet married,17.0,Male,0,1,['Nias'],13.0,240000.0,240000.0,Nias,Other,0,12.388398368982115,1,0,0,289.0,1.0888289416846653
1240024,1:Not yet married,25.0,Female,0,0,['Batak'],16.0,1700000.0,6800000.0,Batak,Other,0,14.346139397261565,0,0,0,625.0,1.0888289416846653
1245201,Married,30.0,Male,1,1,['Nias'],9.0,800000.0,1200000.0,Nias,Other,0,13.592368256649284,1,0,0,900.0,1.0888289416846653
1290004,Married,29.0,Male,1,1,['Nias'],6.0,400000.0,3000000.0,Nias,Other,0,12.899222326086994,1,0,0,841.0,1.0888289416846653
2010005,1:Not yet married,26.0,Male,0,1,['Nias'],15.0,1400000.0,17300000.0,Nias,Other,0,14.151983508870947,1,0,0,676.0,1.0888289416846653
2010006,Married,24.0,Female,1,0,['Nias'],6.0,1500000.0,4700000.0,Nias,Other,0,14.220976332738882,0,0,0,576.0,1.0888289416846653
2010008,1:Not yet married,19.0,Female,0,0,['Nias'],9.0,1500000.0,18000000.0,Nias,Other,0,14.220976332738882,0,0,0,361.0,1.0888289416846653
2020011,Married,22.0,Female,1,0,['Nias'],9.0,140000.0,600000.0,Nias,Other,0,11.849404844423074,0,0,0,484.0,1.0888289416846653
2040006,1:Not yet married,20.0,Female,0,0,['Nias'],9.0,1500000.0,18000000.0,Nias,Other,0,14.220976332738882,0,0,0,400.0,1.0888289416846653
2050003,Married,28.0,Male,1,1,['Nias'],6.0,1600000.0,19200000.0,Nias,Other,0,14.285514812209815,1,0,0,784.0,1.0888289416846653
2050010,Married,26.0,Female,1,0,['Nias'],6.0,1500000.0,19500000.0,Nias,Other,0,14.220976332738882,0,0,0,676.0,1.0888289416846653
2065101,Married,52.0,Male,1,1,['Nias'],12.0,0.0,0.0,Nias,Other,0,0.0,1,0,0,2704.0,1.0888289416846653
2180007,Married,24.0,Female,1,0,['Nias'],6.0,0.0,17400000.0,Nias,Other,0,0.0,0,0,0,576.0,1.0888289416846653
2190005,1:Not yet married,19.0,Female,0,0,['Palembang'],12.0,0.0,0.0,Palembang,Other,0,0.0,0,0,0,361.0,1.0888289416846653
2200001,Married,54.0,Male,1,1,['Nias'],16.0,2000000.0,24000000.0,Nias,Other,0,14.508658238524095,1,0,0,2916.0,1.0888289416846653
2200003,1:Not yet married,25.0,Male,0,1,['Nias'],16.0,2000000.0,2000000.0,Nias,Other,0,14.508658238524095,1,0,0,625.0,1.0888289416846653
2250004,Married,28.0,Male,1,1,['Nias'],12.0,3000000.0,10000000.0,Nias,Other,0,14.914123179965662,1,0,0,784.0,1.0888289416846653
2250005,1:Not yet married,26.0,Male,0,1,['Nias'],15.0,1400000.0,16800000.0,Nias,Other,0,14.151983508870947,1,0,0,676.0,1.0888289416846653
2250010,Married,25.0,Female,1,0,['Nias'],15.0,1400000.0,8400000.0,Nias,Other,0,14.151983508870947,0,0,0,625.0,1.0888289416846653
2260008,Married,22.0,Male,1,1,['Nias'],9.0,120000.0,600000.0,Nias,Other,0,11.695255355062795,1,0,0,484.0,1.0888289416846653
2290007,Widowed,45.0,Male,1,1,['Nias'],6.0,2000000.0,26000000.0,Nias,Other,0,14.508658238524095,1,0,0,2025.0,1.0888289416846653
2294203,1:Not yet married,16.0,Female,0,0,['Nias'],6.0,1200000.0,4800000.0,Nias,Other,0,13.997832948091215,0,0,0,256.0,1.0888289416846653
2295103,Married,17.0,Female,1,0,['Nias'],9.0,500000.0,6000000.0,Nias,Other,0,13.122365377402328,0,0,0,289.0,1.0888289416846653
3010009,1:Not yet married,19.0,Male,0,1,['Batak'],13.0,350000.0,2850000.0,Batak,Other,0,12.765691290604371,1,0,0,361.0,1.0888289416846653
3015102,Married,28.0,Male,1,1,['Batak'],9.0,520000.0,6600000.0,Batak,Other,0,13.161586013632684,1,0,0,784.0,1.0888289416846653
3020001,Married,47.0,Male,1,1,['Jawa'],6.0,1800000.0,7200000.0,Jawa,Jawa,0,14.403297778421795,1,1,0,2209.0,0.8738639312977099
3020003,Married,29.0,Male,1,1,['Batak'],13.0,1200000.0,7200000.0,Batak,Other,0,13.997832948091215,1,0,0,841.0,1.0888289416846653
3020004,1:Not yet married,27.0,Male,0,1,['Jawa'],9.0,1000000.0,1000000.0,Jawa,Jawa,0,13.815511557963774,1,1,0,729.0,0.8738639312977099
3020006,1:Not yet married,22.0,Male,0,1,"['Jawa', 'Batak']",9.0,600000.0,1500000.0,Jawa,Jawa,0,13.304686600863562,1,1,0,484.0,0.8738639312977099
3020007,1:Not yet married,20.0,Male,0,1,['Batak'],9.0,500000.0,2500000.0,Batak,Other,0,13.122365377402328,1,0,0,400.0,1.0888289416846653
3020008,1:Not yet married,19.0,Male,0,1,['Jawa'],9.0,350000.0,2500000.0,Jawa,Jawa,0,12.765691290604371,1,1,0,361.0,0.8738639312977099
3040005,1:Not yet married,19.0,Female,0,0,['Batak'],12.0,1350000.0,18350000.0,Batak,Other,0,14.115615891155079,0,0,0,361.0,1.0888289416846653
3050006,Married,31.0,Male,1,1,['Batak'],12.0,3000000.0,39000000.0,Batak,Other,0,14.914123179965662,1,0,0,961.0,1.0888289416846653
3050007,1:Not yet married,26.0,Female,0,0,['Batak'],12.0,800000.0,800000.0,Batak,Other,0,13.592368256649284,0,0,0,676.0,1.0888289416846653
3050010,Married,26.0,Male,1,1,['Batak'],12.0,2500000.0,10000000.0,Batak,Other,0,14.731801689838349,1,0,0,676.0,1.0888289416846653
3090005,Married,35.0,Male,1,1,['Batak'],12.0,5500000.0,66000000.0,Batak,Other,0,15.520258832020865,1,0,0,1225.0,1.0888289416846653
3090006,Married,30.0,Female,1,0,['Batak'],16.0,4000000.0,48100000.0,Batak,Other,0,15.201805169084134,0,0,0,900.0,1.0888289416846653
3090008,Married,43.0,Male,1,1,['Batak'],13.0,1500000.0,28860000.0,Batak,Other,0,14.220976332738882,1,0,0,1849.0,1.0888289416846653
3090019,1:Not yet married,20.0,Female,0,0,['Batak'],13.0,500000.0,1800000.0,Batak,Other,0,13.122365377402328,0,0,0,400.0,1.0888289416846653
3094102,Married,32.0,Male,1,1,['Batak'],13.0,4500000.0,76500000.0,Batak,Other,0,15.319588176962746,1,0,0,1024.0,1.0888289416846653
3104103,1:Not yet married,19.0,Male,0,1,['Batak'],9.0,1200000.0,4800000.0,Batak,Other,0,13.997832948091215,1,0,0,361.0,1.0888289416846653
3120003,1:Not yet married,26.0,Female,0,0,['Batak'],15.0,2000000.0,25700000.0,Batak,Other,0,14.508658238524095,0,0,0,676.0,1.0888289416846653
3121103,1:Not yet married,18.0,Male,0,1,['Batak'],13.0,250000.0,1000000.0,Batak,Other,0,12.429220196836383,1,0,0,324.0,1.0888289416846653
3150002,Married,37.0,Female,1,0,['Batak'],12.0,400000.0,4800000.0,Batak,Other,0,12.899222326086994,0,0,0,1369.0,1.0888289416846653
3153101,Married,40.0,Male,1,1,['Batak'],12.0,1800000.0,21600000.0,Batak,Other,0,14.403297778421795,1,0,0,1600.0,1.0888289416846653
3180006,Married,28.0,Female,1,0,['Batak'],15.0,4000000.0,49500000.0,Batak,Other,0,15.201805169084134,0,0,0,784.0,1.0888289416846653
3183104,Married,28.0,Female,1,0,['Batak'],16.0,1200000.0,7710000.0,Batak,Other,0,13.997832948091215,0,0,0,784.0,1.0888289416846653
3184202,Married,33.0,Male,1,1,['Batak'],16.0,4000000.0,60000000.0,Batak,Other,0,15.201805169084134,1,0,0,1089.0,1.0888289416846653
3185101,Married,29.0,Male,1,1,['Batak'],13.0,400000.0,19550000.0,Batak,Other,0,12.899222326086994,1,0,0,841.0,1.0888289416846653
3193102,Married,45.0,Female,1,0,['Batak'],16.0,2000000.0,26500000.0,Batak,Other,0,14.508658238524095,0,0,0,2025.0,1.0888289416846653
3200004,Married,35.0,Male,1,1,['Batak'],16.0,3300000.0,24800000.0,Batak,Other,0,15.009433329466965,1,0,0,1225.0,1.0888289416846653
3200005,Divorced,56.0,Male,1,1,['Batak'],16.0,5265000.0,57600000.0,Batak,Other,0,15.476591893483718,1,0,0,3136.0,1.0888289416846653
3240002,Married,49.0,Male,1,1,['Batak'],12.0,4000000.0,76000000.0,Batak,Other,0,15.201805169084134,1,0,0,2401.0,1.0888289416846653
3244101,Married,39.0,Male,1,1,['Jawa'],12.0,3000000.0,36000000.0,Jawa,Jawa,0,14.914123179965662,1,1,0,1521.0,0.8738639312977099
3250007,1:Not yet married,21.0,Female,0,0,['Batak'],12.0,600000.0,600000.0,Batak,Other,0,13.304686600863562,0,0,0,441.0,1.0888289416846653
3260003,Married,31.0,Male,1,1,['Nias'],12.0,6000000.0,72000000.0,Nias,Other,0,15.607270193858982,1,0,0,961.0,1.0888289416846653
3260004,Married,29.0,Male,1,1,['Nias'],16.0,3800000.0,36400000.0,Nias,Other,0,15.150511887854474,1,0,0,841.0,1.0888289416846653
3260005,Married,26.0,Female,1,0,['Nias'],16.0,700000.0,8400000.0,Nias,Other,0,13.45883704259595,0,0,0,676.0,1.0888289416846653
3260006,1:Not yet married,25.0,Male,0,1,['Nias'],13.0,2600000.0,23200000.0,Nias,Other,0,14.77102238760702,1,0,0,625.0,1.0888289416846653
3260009,Married,51.0,Female,1,0,['Batak'],16.0,4500000.0,91750000.0,Batak,Other,0,15.319588176962746,0,0,0,2601.0,1.0888289416846653
3264102,Married,29.0,Female,1,0,['Sunda'],12.0,600000.0,7700000.0,Sunda,Sunda,0,13.304686600863562,0,0,1,841.0,1.1648019801980198
3265102,Married,28.0,Female,1,0,['Other'],12.0,1800000.0,23400000.0,Other,Other,0,14.403297778421795,0,0,0,784.0,1.0888289416846653
3290001,Married,51.0,Male,1,1,['Jawa'],6.0,1500000.0,19200000.0,Jawa,Jawa,0,14.220976332738882,1,1,0,2601.0,0.8738639312977099
3290003,Married,27.0,Male,1,1,['Batak'],12.0,3000000.0,36000000.0,Batak,Other,0,14.914123179965662,1,0,0,729.0,1.0888289416846653
3290005,1:Not yet married,21.0,Male,0,1,['Batak'],16.0,2885000.0,14000000.0,Batak,Other,0,14.875035804544728,1,0,0,441.0,1.0888289416846653
4010002,Widowed,47.0,Female,1,0,['Batak'],16.0,4000000.0,34200000.0,Batak,Other,0,15.201805169084134,0,0,0,2209.0,1.0888289416846653
4010003,1:Not yet married,25.0,Male,0,1,['Batak'],16.0,0.0,30000000.0,Batak,Other,0,0.0,1,0,0,625.0,1.0888289416846653
4020005,Married,27.0,Male,1,1,['Batak'],12.0,1700000.0,19600000.0,Batak,Other,0,14.346139397261565,1,0,0,729.0,1.0888289416846653
4020007,1:Not yet married,24.0,Female,0,0,['Batak'],12.0,1300000.0,17900000.0,Batak,Other,0,14.077875591662238,0,0,0,576.0,1.0888289416846653
4020009,1:Not yet married,21.0,Male,0,1,['Batak'],9.0,780000.0,780000.0,Batak,Other,0,13.567050480716235,1,0,0,441.0,1.0888289416846653
4025201,Married,33.0,Male,1,1,['Batak'],12.0,600000.0,7200000.0,Batak,Other,0,13.304686600863562,1,0,0,1089.0,1.0888289416846653
4030008,Married,24.0,Male,1,1,['Batak'],12.0,500000.0,6000000.0,Batak,Other,0,13.122365377402328,1,0,0,576.0,1.0888289416846653
4030010,1:Not yet married,20.0,Male,0,1,['Batak'],13.0,1820000.0,16380000.0,Batak,Other,0,14.414347608503377,1,0,0,400.0,1.0888289416846653
4050001,Married,50.0,Male,1,1,['Batak'],16.0,4300000.0,55900000.0,Batak,Other,0,15.274125813221904,1,0,0,2500.0,1.0888289416846653
4055102,Married,28.0,Male,1,1,['Batak'],13.0,2200000.0,24200000.0,Batak,Other,0,14.603968372873895,1,0,0,784.0,1.0888289416846653
4060003,Married,34.0,Male,1,1,['Batak'],12.0,1500000.0,18000000.0,Batak,Other,0,14.220976332738882,1,0,0,1156.0,1.0888289416846653
4060004,Married,31.0,Male,1,1,['Batak'],12.0,2000000.0,24000000.0,Batak,Other,0,14.508658238524095,1,0,0,961.0,1.0888289416846653
4060005,Married,29.0,Male,1,1,['Batak'],15.0,1650000.0,20880000.0,Batak,Other,0,14.316286451937186,1,0,0,841.0,1.0888289416846653
4065202,Married,36.0,Female,1,0,['Batak'],13.0,700000.0,8000000.0,Batak,Other,0,13.45883704259595,0,0,0,1296.0,1.0888289416846653
4070002,Married,49.0,Female,1,0,['Batak'],12.0,1900000.0,24400000.0,Batak,Other,0,14.45736497045232,0,0,0,2401.0,1.0888289416846653
4070007,Married,34.0,Male,1,1,['Batak'],13.0,1200000.0,4800000.0,Batak,Other,0,13.997832948091215,1,0,0,1156.0,1.0888289416846653
4090003,1:Not yet married,41.0,Female,0,0,['Batak'],12.0,1600000.0,5200000.0,Batak,Other,0,14.285514812209815,0,0,0,1681.0,1.0888289416846653
4100003,Married,37.0,Female,1,0,['Batak'],6.0,300000.0,900000.0,Batak,Other,0,12.611541086966115,0,0,0,1369.0,1.0888289416846653
4100005,Married,33.0,Male,1,1,['Batak'],9.0,1652000.0,19824000.0,Batak,Other,0,14.317497838389754,1,0,0,1089.0,1.0888289416846653
4100006,Married,30.0,Male,1,1,['Batak'],12.0,1000000.0,13000000.0,Batak,Other,0,13.815511557963774,1,0,0,900.0,1.0888289416846653
4100008,Married,28.0,Female,1,0,['Batak'],16.0,0.0,1200000.0,Batak,Other,0,0.0,0,0,0,784.0,1.0888289416846653
4100009,1:Not yet married,24.0,Male,0,1,['Batak'],13.0,3400000.0,34800000.0,Batak,Other,0,15.039286283703994,1,0,0,576.0,1.0888289416846653
4110003,Married,35.0,Male,1,1,['Batak'],12.0,5000000.0,64000000.0,Batak,Other,0,15.424948670398354,1,0,0,1225.0,1.0888289416846653
4130003,Married,33.0,Male,1,1,['Batak'],12.0,2800000.0,35100000.0,Batak,Other,0,14.845130332288226,1,0,0,1089.0,1.0888289416846653
4130005,Married,36.0,Female,1,0,['Batak'],13.0,1500000.0,19200000.0,Batak,Other,0,14.220976332738882,0,0,0,1296.0,1.0888289416846653
4130006,1:Not yet married,17.0,Female,0,0,['Batak'],9.0,1000000.0,14200000.0,Batak,Other,0,13.815511557963774,0,0,0,289.0,1.0888289416846653
4132102,Married,32.0,Female,1,0,['Batak'],16.0,0.0,0.0,Batak,Other,0,0.0,0,0,0,1024.0,1.0888289416846653
4140005,Married,30.0,Male,1,1,['Batak'],13.0,4000000.0,60200000.0,Batak,Other,0,15.201805169084134,1,0,0,900.0,1.0888289416846653
4140006,Married,27.0,Male,1,1,['Batak'],13.0,1800000.0,3200000.0,Batak,Other,0,14.403297778421795,1,0,0,729.0,1.0888289416846653
4140011,Married,23.0,Female,1,0,['Batak'],12.0,2000000.0,25700000.0,Batak,Other,0,14.508658238524095,0,0,0,529.0,1.0888289416846653
4144102,Married,33.0,Female,1,0,['Batak'],12.0,300000.0,2700000.0,Batak,Other,0,12.611541086966115,0,0,0,1089.0,1.0888289416846653
4150003,Married,46.0,Male,1,1,['Batak'],16.0,1500000.0,18500000.0,Batak,Other,0,14.220976332738882,1,0,0,2116.0,1.0888289416846653
4150004,Married,47.0,Female,1,0,['Batak'],16.0,4000000.0,51500000.0,Batak,Other,0,15.201805169084134,0,0,0,2209.0,1.0888289416846653
4160002,Married,50.0,Female,1,0,['Batak'],12.0,800000.0,12400000.0,Batak,Other,0,13.592368256649284,0,0,0,2500.0,1.0888289416846653
4160003,1:Not yet married,26.0,Male,0,1,['Batak'],16.0,2800000.0,30000000.0,Batak,Other,0,14.845130332288226,1,0,0,676.0,1.0888289416846653
4160004,1:Not yet married,25.0,Female,0,0,['Batak'],15.0,1800000.0,9000000.0,Batak,Other,0,14.403297778421795,0,0,0,625.0,1.0888289416846653
4160005,1:Not yet married,21.0,Male,0,1,['Batak'],16.0,2600000.0,33800000.0,Batak,Other,0,14.77102238760702,1,0,0,441.0,1.0888289416846653
4190003,Married,29.0,Male,1,1,['Batak'],12.0,2000000.0,25000000.0,Batak,Other,0,14.508658238524095,1,0,0,841.0,1.0888289416846653
4220003,Married,36.0,Male,1,1,['Batak'],13.0,2500000.0,31700000.0,Batak,Other,0,14.731801689838349,1,0,0,1296.0,1.0888289416846653
4232102,Married,36.0,Male,1,1,['Batak'],13.0,3500000.0,43000000.0,Batak,Other,0,15.068273812173887,1,0,0,1296.0,1.0888289416846653
4240006,1:Not yet married,28.0,Male,0,1,['Batak'],12.0,2500000.0,2500000.0,Batak,Other,0,14.731801689838349,1,0,0,784.0,1.0888289416846653
4242202,Married,37.0,Male,1,1,['Batak'],12.0,1800000.0,23400000.0,Batak,Other,0,14.403297778421795,1,0,0,1369.0,1.0888289416846653
4253102,Married,40.0,Female,1,0,['Batak'],12.0,600000.0,7200000.0,Batak,Other,0,13.304686600863562,0,0,0,1600.0,1.0888289416846653
4260008,1:Not yet married,20.0,Male,0,1,['Batak'],13.0,1800000.0,21600000.0,Batak,Other,0,14.403297778421795,1,0,0,400.0,1.0888289416846653
4280004,1:Not yet married,33.0,Female,0,0,['Batak'],9.0,700000.0,9100000.0,Batak,Other,0,13.45883704259595,0,0,0,1089.0,1.0888289416846653
5030001,Divorced,51.0,Female,1,0,['Jawa'],6.0,750000.0,9200000.0,Jawa,Jawa,0,13.527829818844937,0,1,0,2601.0,0.8738639312977099
5030002,Married,29.0,Female,1,0,['Jawa'],6.0,1200000.0,16700000.0,Jawa,Jawa,0,13.997832948091215,0,1,0,841.0,0.8738639312977099
5034101,Married,34.0,Male,1,1,['Jawa'],9.0,2500000.0,32700000.0,Jawa,Jawa,0,14.731801689838349,1,1,0,1156.0,0.8738639312977099
5040004,Married,32.0,Male,1,1,['Jawa'],12.0,2000000.0,18800000.0,Jawa,Jawa,0,14.508658238524095,1,1,0,1024.0,0.8738639312977099
5040005,Married,30.0,Male,1,1,['Jawa'],12.0,2500000.0,34900000.0,Jawa,Jawa,0,14.731801689838349,1,1,0,900.0,0.8738639312977099
5043103,Divorced,36.0,Female,1,0,['Jawa'],12.0,3500000.0,42000000.0,Jawa,Jawa,0,15.068273812173887,0,1,0,1296.0,0.8738639312977099
5060001,Married,56.0,Male,1,1,['Jawa'],6.0,1440000.0,18820000.0,Jawa,Jawa,0,14.180154365996387,1,1,0,3136.0,0.8738639312977099
5060003,Married,33.0,Male,1,1,['Jawa'],9.0,2400000.0,28800000.0,Jawa,Jawa,0,14.690979711984754,1,1,0,1089.0,0.8738639312977099
5060007,1:Not yet married,16.0,Male,0,1,['Jawa'],9.0,0.0,0.0,Jawa,Jawa,0,0.0,1,1,0,256.0,0.8738639312977099
5080002,Married,63.0,Male,1,1,['Jawa'],6.0,400000.0,11000000.0,Jawa,Jawa,0,12.899222326086994,1,1,0,3969.0,0.8738639312977099
5080003,Married,59.0,Female,1,0,['Jawa'],6.0,350000.0,4550000.0,Jawa,Jawa,0,12.765691290604371,0,1,0,3481.0,0.8738639312977099
5094101,Divorced,27.0,Male,1,1,['Jawa'],6.0,900000.0,11600000.0,Jawa,Jawa,0,13.710151153416941,1,1,0,729.0,0.8738639312977099
5095201,Married,26.0,Male,1,1,['Jawa'],16.0,800000.0,3250000.0,Jawa,Jawa,0,13.592368256649284,1,1,0,676.0,0.8738639312977099
5100002,Married,52.0,Female,1,0,['Sunda'],6.0,500000.0,6500000.0,Sunda,Sunda,0,13.122365377402328,0,0,1,2704.0,1.1648019801980198
5100003,Married,27.0,Female,1,0,['Jawa'],6.0,600000.0,7700000.0,Jawa,Jawa,0,13.304686600863562,0,1,0,729.0,0.8738639312977099
5100005,1:Not yet married,21.0,Male,0,1,['Jawa'],6.0,600000.0,2500000.0,Jawa,Jawa,0,13.304686600863562,1,1,0,441.0,0.8738639312977099
5110003,Married,48.0,Male,1,1,['Jawa'],9.0,3000000.0,36000000.0,Jawa,Jawa,0,14.914123179965662,1,1,0,2304.0,0.8738639312977099
5130003,1:Not yet married,24.0,Male,0,1,['Jawa'],9.0,1800000.0,15600000.0,Jawa,Jawa,0,14.403297778421795,1,1,0,576.0,0.8738639312977099
5130008,Married,19.0,Male,1,1,['Jawa'],13.0,1500000.0,18000000.0,Jawa,Jawa,0,14.220976332738882,1,1,0,361.0,0.8738639312977099
5130012,1:Not yet married,19.0,Female,0,0,['Jawa'],16.0,300000.0,3000000.0,Jawa,Jawa,0,12.611541086966115,0,1,0,361.0,0.8738639312977099
5131203,Married,35.0,Female,1,0,['Jawa'],6.0,650000.0,8400000.0,Jawa,Jawa,0,13.384729180332174,0,1,0,1225.0,0.8738639312977099
5134101,Married,52.0,Male,1,1,['Batak'],12.0,2932000.0,47319000.0,Batak,Other,0,14.891195683052741,1,0,0,2704.0,1.0888289416846653
5140002,Married,63.0,Female,1,0,['Jawa'],6.0,300000.0,4100000.0,Jawa,Jawa,0,12.611541086966115,0,1,0,3969.0,0.8738639312977099
5140003,Married,40.0,Female,1,0,['Jawa'],6.0,200000.0,2500000.0,Jawa,Jawa,0,12.206077645517674,0,1,0,1600.0,0.8738639312977099
5140007,Married,28.0,Male,1,1,['Jawa'],13.0,1400000.0,15000000.0,Jawa,Jawa,0,14.151983508870947,1,1,0,784.0,0.8738639312977099
5144101,Married,32.0,Male,1,1,['Batak'],13.0,2500000.0,30000000.0,Batak,Other,0,14.731801689838349,1,0,0,1024.0,1.0888289416846653
5150001,Married,45.0,Male,1,1,['Jawa'],13.0,3000000.0,48000000.0,Jawa,Jawa,0,14.914123179965662,1,1,0,2025.0,0.8738639312977099
5160001,Married,54.0,Male,1,1,['Jawa'],6.0,750000.0,9000000.0,Jawa,Jawa,0,13.527829818844937,1,1,0,2916.0,0.8738639312977099
5160002,Married,51.0,Female,1,0,['Jawa'],6.0,250000.0,1800000.0,Jawa,Jawa,0,12.429220196836383,0,1,0,2601.0,0.8738639312977099
5160006,1:Not yet married,23.0,Male,0,1,['Jawa'],9.0,2000000.0,15000000.0,Jawa,Jawa,0,14.508658238524095,1,1,0,529.0,0.8738639312977099
5160007,Married,20.0,Female,1,0,['Jawa'],13.0,80000.0,400000.0,Jawa,Jawa,0,11.289794413577894,0,1,0,400.0,0.8738639312977099
