pidlink,sex,age,age_squared,education,urban,monthly_income,log_income,marstat,ever_married,is_divorced,is_jawa,is_sunda,pwt14xa
001220003,Male,34.0,1156.0,16.0,0,0.0,0.0,Married,1,0,0,0,0.8562862277030945
001220006,Male,28.0,784.0,16.0,0,2000000.0,14.508658238524095,Never Married,0,0,0,0,0.6690118908882141
001220008,Male,24.0,576.0,16.0,1,700000.0,13.45883704259595,Never Married,0,0,0,0,0.6519206762313843
001240007,Female,30.0,900.0,16.0,0,200000.0,12.206077645517674,Never Married,0,0,0,0,0.9512035846710205
001240024,Female,25.0,625.0,16.0,0,1700000.0,14.346139397261565,Never Married,0,0,0,0,0.7601195573806763
001245201,Male,30.0,900.0,9.0,0,800000.0,13.592368256649284,Married,1,0,0,0,0.8562862277030945
001290004,Male,29.0,841.0,6.0,0,400000.0,12.899222326086994,Married,1,0,0,0,0.6690118908882141
002010005,Male,26.0,676.0,15.0,0,1400000.0,14.151983508870947,Never Married,0,0,0,0,0.6690118908882141
002010006,Female,24.0,576.0,6.0,1,1500000.0,14.220976332738882,Married,1,0,0,0,0.6004583239555359
002010008,Female,19.0,361.0,9.0,1,1500000.0,14.220976332738882,Never Married,0,0,0,0,0.4765138030052185
002020011,Female,22.0,484.0,9.0,0,140000.0,11.849404844423074,Married,1,0,0,0,0.8333709836006165
002040006,Female,20.0,400.0,9.0,1,1500000.0,14.220976332738882,Never Married,0,0,0,0,0.6004583239555359
002050003,Male,28.0,784.0,6.0,0,1600000.0,14.285514812209815,Married,1,0,0,0,0.6690118908882141
002050010,Female,26.0,676.0,6.0,0,1500000.0,14.220976332738882,Married,1,0,0,0,0.7601195573806763
002065101,Male,52.0,2704.0,12.0,0,0.0,0.0,Married,1,0,0,0,1.425906777381897
002180007,Female,24.0,576.0,6.0,0,0.0,0.0,Married,1,0,0,0,0.8333709836006165
002190005,Female,19.0,361.0,12.0,1,0.0,0.0,Never Married,0,0,0,0,0.4765138030052185
