pidlink,marstat,age,sex
001060001,2:Married,59.0,1:Male
001060004,2:Married,28.0,3:Female
001060007,2:Married,39.0,3:Female
001065102,2:Married,30.0,1:Male
001080003,2:Married,36.0,1:Male
001080012,2:Married,40.0,3:Female
001220001,2:Married,55.0,1:Male
001220002,2:Married,54.0,3:Female
001220003,2:Married,34.0,1:Male
001220011,2:Married,32.0,3:Female
001240002,5:Widowed,62.0,3:Female
001240003,5:Widowed,40.0,1:Male
001240004,2:Married,35.0,1:Male
001240005,2:Married,37.0,3:Female
001240009,2:Married,24.0,3:Female
001240025,2:Married,31.0,3:Female
001245101,2:Married,50.0,1:Male
001245201,2:Married,30.0,1:Male
001250003,2:Married,34.0,1:Male
001250008,2:Married,33.0,3:Female
001290001,2:Married,58.0,1:Male
001290002,2:Married,50.0,3:Female
001290003,2:Married,27.0,3:Female
001290004,2:Married,29.0,1:Male
001290005,2:Married,25.0,1:Male
001295101,2:Married,27.0,1:Male
001295202,2:Married,22.0,3:Female
001295304,2:Married,21.0,3:Female
002010002,5:Widowed,67.0,3:Female
002010003,2:Married,46.0,3:Female
002010004,2:Married,56.0,1:Male
002010006,2:Married,24.0,3:Female
002015101,2:Married,24.0,1:Male
002020001,2:Married,42.0,1:Male
002020011,2:Married,22.0,3:Female
002030002,5:Widowed,68.0,3:Female
002040001,2:Married,46.0,1:Male
002040002,2:Married,45.0,3:Female
002040003,2:Married,28.0,3:Female
002044102,2:Married,35.0,1:Male
002050003,2:Married,28.0,1:Male
002050010,2:Married,26.0,3:Female
002060002,2:Married,40.0,1:Male
002060004,2:Married,34.0,3:Female
002060006,2:Married,33.0,3:Female
002065101,2:Married,52.0,1:Male
002110006,2:Married,41.0,1:Male
002110007,2:Married,39.0,3:Female
002130001,2:Married,57.0,1:Male
002130002,2:Married,54.0,3:Female
002150001,2:Married,64.0,1:Male
002150002,2:Married,52.0,3:Female
002180002,2:Married,48.0,1:Male
002180005,2:Married,45.0,3:Female
002180006,2:Married,26.0,1:Male
002180007,2:Married,24.0,3:Female
